colour	fill	y	x	density	scaled	count	n	showSelectedlegendcolourfill	group	ymin	ymax
#B79F00	#B79F00	0.00511246647766344	43.1506849315069	0.00511246647766344	0.0808745788135417	4.72391902536102	924	CA	2	0	0.00511246647766344
#00BA38	#00BA38	0.00682813112305262	43.1506849315069	0.00682813112305262	0.101413670104736	10.4538687493936	1531	GB	3	0	0.00682813112305262
#00BFC4	#00BFC4	0.0201267205982943	43.1506849315069	0.0201267205982943	0.360950415473156	29.4655189559029	1464	IN	4	0	0.0201267205982943
#619CFF	#619CFF	0.0144677345091644	43.1506849315069	0.0144677345091644	0.239432673184652	9.38955969644768	649	PH	5	0	0.0144677345091644
#F564E3	#F564E3	0.00393722202475915	43.1506849315069	0.00393722202475915	0.0639557192251049	34.4625043827169	8753	US	6	0	0.00393722202475915
#F8766D	#F8766D	0.00457164200203637	43.2485322896282	0.00457164200203637	0.0745210334679144	4.45277930998343	974	AU	1	0	0.00457164200203637
#B79F00	#B79F00	0.0049210324974616	43.2485322896282	0.0049210324974616	0.0778462670217549	4.54703402765452	924	CA	2	0	0.0049210324974616
#00BA38	#00BA38	0.00655516723910222	43.2485322896282	0.00655516723910222	0.0973595198872634	10.0359610430655	1531	GB	3	0	0.00655516723910222
#00BFC4	#00BFC4	0.0197000462968183	43.2485322896282	0.0197000462968183	0.353298485013977	28.840867778542	1464	IN	4	0	0.0197000462968183
#619CFF	#619CFF	0.0138715704772187	43.2485322896282	0.0138715704772187	0.22956650182694	9.00264923971493	649	PH	5	0	0.0138715704772187
#F564E3	#F564E3	0.00373283976985619	43.2485322896282	0.00373283976985619	0.0606357606281632	32.6735465055512	8753	US	6	0	0.00373283976985619
#F8766D	#F8766D	0.00431722900290677	43.3463796477495	0.00431722900290677	0.0703739196706475	4.20498104883119	974	AU	1	0	0.00431722900290677
#B79F00	#B79F00	0.004732899065902	43.3463796477495	0.004732899065902	0.0748701669134011	4.37319873689345	924	CA	2	0	0.004732899065902
#00BA38	#00BA38	0.0062972548117721	43.3463796477495	0.0062972548117721	0.0935289188999942	9.64109711682309	1531	GB	3	0	0.0062972548117721
#00BFC4	#00BFC4	0.0192792464889812	43.3463796477495	0.0192792464889812	0.345751907084003	28.2248168598684	1464	IN	4	0	0.0192792464889812
#619CFF	#619CFF	0.0132900134809331	43.3463796477495	0.0132900134809331	0.219942068496228	8.6252187491256	649	PH	5	0	0.0132900134809331
#F564E3	#F564E3	0.00354287796377951	43.3463796477495	0.00354287796377951	0.0575500459144553	31.010810816962	8753	US	6	0	0.00354287796377951
#F8766D	#F8766D	0.00407487115561816	43.4442270058708	0.00407487115561816	0.0664233134681144	3.96892450557209	974	AU	1	0	0.00407487115561816
