fill	x	y	group	xmin	xmax	ymin	ymax
#132C44	27	35	-1	26.5	27.5	34.5	35.5
#132C44	28	35	-1	27.5	28.5	34.5	35.5
#142D46	29	35	-1	28.5	29.5	34.5	35.5
#142D45	30	35	-1	29.5	30.5	34.5	35.5
#132B43	31	35	-1	30.5	31.5	34.5	35.5
#132B43	32	35	-1	31.5	32.5	34.5	35.5
#132C44	33	35	-1	32.5	33.5	34.5	35.5
#142D46	34	35	-1	33.5	34.5	34.5	35.5
#132C44	35	35	-1	34.5	35.5	34.5	35.5
#152F48	36	35	-1	35.5	36.5	34.5	35.5
#132B43	37	35	-1	36.5	37.5	34.5	35.5
#132B43	41	35	-1	40.5	41.5	34.5	35.5
#132C44	27	36	-1	26.5	27.5	35.5	36.5
#132B43	28	36	-1	27.5	28.5	35.5	36.5
#132B43	29	36	-1	28.5	29.5	35.5	36.5
#142D45	30	36	-1	29.5	30.5	35.5	36.5
#132C44	32	36	-1	31.5	32.5	35.5	36.5
#132C44	33	36	-1	32.5	33.5	35.5	36.5
#142D45	34	36	-1	33.5	34.5	35.5	36.5
#142D46	35	36	-1	34.5	35.5	35.5	36.5
#132B43	37	36	-1	36.5	37.5	35.5	36.5
#132B43	25	37	-1	24.5	25.5	36.5	37.5
#132C44	27	37	-1	26.5	27.5	36.5	37.5
#132B43	28	37	-1	27.5	28.5	36.5	37.5
#132B43	32	37	-1	31.5	32.5	36.5	37.5
#152F48	33	37	-1	32.5	33.5	36.5	37.5
#132B43	35	37	-1	34.5	35.5	36.5	37.5
#132C44	36	37	-1	35.5	36.5	36.5	37.5
#132C44	37	37	-1	36.5	37.5	36.5	37.5
#132C44	29	38	-1	28.5	29.5	37.5	38.5
#132C44	32	38	-1	31.5	32.5	37.5	38.5
#132C44	33	38	-1	32.5	33.5	37.5	38.5
#132B43	36	38	-1	35.5	36.5	37.5	38.5
#132C44	29	39	-1	28.5	29.5	38.5	39.5
#132B43	31	39	-1	30.5	31.5	38.5	39.5
#132B43	33	39	-1	32.5	33.5	38.5	39.5
#142D45	35	39	-1	34.5	35.5	38.5	39.5
#132B43	36	39	-1	35.5	36.5	38.5	39.5
#132B43	30	40	-1	29.5	30.5	39.5	40.5
#132B43	31	40	-1	30.5	31.5	39.5	40.5
#132B43	33	40	-1	32.5	33.5	39.5	40.5
#132B43	31	41	-1	30.5	31.5	40.5	41.5
#132B43	34	41	-1	33.5	34.5	40.5	41.5
